chain,protocol,asset,tvl_usd,apy_base,apy_reward,apy_total,rewardTokens,pool,apy_change_1d,apy_change_7d,apy_change_30d,is_stablecoin_flag,il_risk,token_exposure,predictions,poolMeta,mu,sigma,count,outlier,underlyingTokens,il7d,apyBase7d,apy_30d_avg,volumeUsd1d,volumeUsd7d,apyBaseInception,timestamp,date,collection_hour,apy_volatility,tvl_millions,tvl_log,tvl_category,sharpe_proxy,protocol_tier,chain_type,stable_type
Avalanche,euler-v2,USDC,1821133,5.29887,,5.29887,,059fa0e6-7402-498c-bfa8-561baf4e82ec,-0.14571,-1.51092,-4.20407,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 53, 'binnedConfidence': 1}",EVK Vault eUSDC-19,7.28765,0.15042,115,False,['0xB97EF9Ef8734C71904D8002F8b6Bc66Dd9c48a6E'],,,8.03665,,,,2026-02-16T00:34:30.525160,2026-02-16,0,2.73778,1.821133,14.414969941944223,$1-10M,1.6365750606897318,Tier 3 - Emerging,Sidechain,Fiat-backed
Avalanche,euler-v2,USDC,1821107,5.29913,,5.29913,,059fa0e6-7402-498c-bfa8-561baf4e82ec,-0.15295,-1.50354,-3.61058,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 51, 'binnedConfidence': 1}",EVK Vault eUSDC-19,7.27035,0.15004,116,False,['0xB97EF9Ef8734C71904D8002F8b6Bc66Dd9c48a6E'],,,7.97567,,,,2026-02-16T10:09:02.995286,2026-02-16,10,2.67654,1.821107,14.414955665023578,$1-10M,1.6682081761917054,Tier 3 - Emerging,Sidechain,Fiat-backed
Optimism,aave-v3,USDC,7230170,1.92915,,1.92915,,0758c3b8-4ffb-4176-b0a9-f446e367db46,0.01116,0.04758,-0.80347,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 88, 'binnedConfidence': 3}",,5.86073,0.18802,809,False,['0x0b2C639c533813f4Aa9D7837CAf62653d097Ff85'],,,2.65232,,,,2026-02-16T00:34:30.525160,2026-02-16,0,0.7231700000000001,7.23017,15.793773245307538,$1-10M,1.577172429016408,Tier 1 - Blue Chip,L2 - Rollup,Fiat-backed
Optimism,aave-v3,USDC,7241037,1.92753,,1.92753,,0758c3b8-4ffb-4176-b0a9-f446e367db46,0.01881,0.06191,-0.80785,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 88, 'binnedConfidence': 3}",,5.85578,0.18804,810,False,['0x0b2C639c533813f4Aa9D7837CAf62653d097Ff85'],,,2.6419,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.7143700000000002,7.241037,15.795275124251123,$1-10M,1.58726747202253,Tier 1 - Blue Chip,L2 - Rollup,Fiat-backed
Gnosis,sparklend,USDT,29721,2.43839,,2.43839,,0860763b-f949-4e38-8eba-22ffe14d400f,0.0,0.0,1.78711,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 57.99999999999999, 'binnedConfidence': 1}",,2.72283,0.11915,650,False,['0x4ECaBa5870353805a9F068101A40E0f32ed605C6'],,,1.47648,,,,2026-02-16T00:34:30.525160,2026-02-16,0,0.96191,0.029721,10.299642791318515,<$1M,1.6679480952999843,Tier 2 - Established,Sidechain,Fiat-backed
Gnosis,sparklend,USDT,29724,2.43839,,2.43839,,0860763b-f949-4e38-8eba-22ffe14d400f,0.0,0.0,1.78711,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 57.99999999999999, 'binnedConfidence': 1}",,2.72239,0.11906,651,False,['0x4ECaBa5870353805a9F068101A40E0f32ed605C6'],,,1.49946,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.93893,0.029724,10.299743721558984,<$1M,1.694585560103688,Tier 2 - Established,Sidechain,Fiat-backed
Cronos,tectonic,USDC,54862510,0.11432,0.00268,0.117,['0xdd73dea10abc2bff99c60882ec5b2b81bb1dc5b2'],0c3c1b07-7c36-4fbb-8e71-226e02bf15c1,-0.00012,-0.0007,-0.03135,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 72, 'binnedConfidence': 2}",,1.85062,0.0455,1282,False,['0xc21223249CA28397B4B6541dfFaEcC539BfF0c59'],,,0.13436,,,,2026-02-16T00:34:30.525160,2026-02-16,0,0.01736,54.86251,17.82034081347986,$10-100M,0.2261481366939848,Tier 4 - New/Niche,Other,Fiat-backed
Cronos,tectonic,USDC,54902983,0.11418,0.00261,0.11679,['0xdd73dea10abc2bff99c60882ec5b2b81bb1dc5b2'],0c3c1b07-7c36-4fbb-8e71-226e02bf15c1,-0.00023,-0.00089,-0.03155,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 72, 'binnedConfidence': 2}",,1.84926,0.04556,1283,False,['0xc21223249CA28397B4B6541dfFaEcC539BfF0c59'],,,0.13397,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.01718,54.902983,17.82107825837243,$10-100M,0.2258207974012916,Tier 4 - New/Niche,Other,Fiat-backed
Base,compound-v3,USDC,1712094,2.99592,0.67169,3.66761,['0x9e1028F5F1D5eDE59748FFceE5532509976840E0'],0c8567f8-ba5b-41ad-80de-00a71895eb19,0.34245,0.45063,-0.13615,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 76, 'binnedConfidence': 3}",,6.38987,0.14484,689,False,['0x833589fcd6edb6e08f4c7c32d4f71b54bda02913'],,,3.71688,,,,2026-02-16T00:34:30.525160,2026-02-16,0,0.0492700000000003,1.712094,14.35322832479848,$1-10M,6.677244342490938,Tier 1 - Blue Chip,L2 - Rollup,Fiat-backed
Base,compound-v3,USDC,1736702,2.98879,0.65413,3.64292,['0x9e1028F5F1D5eDE59748FFceE5532509976840E0'],0c8567f8-ba5b-41ad-80de-00a71895eb19,0.23638,0.40771,-0.16317,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 77, 'binnedConfidence': 3}",,6.38584,0.14483,690,False,['0x833589fcd6edb6e08f4c7c32d4f71b54bda02913'],,,3.71472,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.0717999999999996,1.736702,14.367499046147774,$1-10M,6.370968870234352,Tier 1 - Blue Chip,L2 - Rollup,Fiat-backed
